,Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Color,Variety,Blemishes (Y/N),Quality (1-5)
59,8.1,205,13.0,3.0,2.0,13,4.5,0.3112033195020747,0.058091286307053944,0,4
60,6.5,130,13.5,2.9,1.0,6,5.0,0.26556016597510373,0.016597510373443983,0,4
61,8.7,235,7.0,4.0,4.5,17,3.0,0.22821576763485477,0.08713692946058091,0,2
62,8.0,200,10.5,3.3,3.0,12,4.0,0.15767634854771784,0.02074688796680498,0,4
63,7.3,165,11.5,3.2,2.5,8,4.5,0.3112033195020747,0.029045643153526972,0,4
64,9.0,240,8.5,3.9,4.5,20,3.5,0.22821576763485477,0.06639004149377593,0,3
65,6.8,140,12.0,3.0,1.5,7,5.0,0.26556016597510373,0.029045643153526972,0,4
66,8.4,215,7.5,4.0,4.0,15,3.0,0.3112033195020747,0.012448132780082987,0,3
67,7.1,150,10.0,3.3,3.0,9,4.0,0.03734439834024896,0.04979253112033195,0,3
68,9.6,280,6.0,4.2,5.0,22,2.0,0.22821576763485477,0.08713692946058091,0,2
69,7.9,190,11.0,3.2,2.0,12,4.5,0.3112033195020747,0.07468879668049792,0,4
70,8.5,220,8.0,3.8,4.0,16,3.5,0.15767634854771784,0.02074688796680498,0,3
71,6.0,100,14.5,2.8,1.0,4,5.0,0.26556016597510373,0.05394190871369295,0,4
72,8.2,210,9.5,3.6,3.0,14,4.0,0.15767634854771784,0.029045643153526972,0,4
73,7.5,175,10.0,3.3,2.5,10,4.0,0.3112033195020747,0.058091286307053944,0,4
74,9.3,270,7.0,4.1,4.5,21,3.0,0.22821576763485477,0.07468879668049792,0,2
75,6.7,135,13.0,3.0,1.5,6,5.0,0.26556016597510373,0.058091286307053944,0,4
76,8.8,235,8.5,3.7,4.0,18,3.5,0.22821576763485477,0.08713692946058091,0,3
77,7.8,190,11.5,3.2,3.0,11,4.5,0.3112033195020747,0.02074688796680498,0,2
78,8.6,225,12.5,3.1,2.5,17,4.5,0.3112033195020747,0.012448132780082987,0,4
79,7.0,145,10.5,3.4,3.5,8,4.0,0.03734439834024896,0.04979253112033195,0,3
80,9.1,250,7.5,4.0,5.0,20,2.5,0.22821576763485477,0.06639004149377593,0,2
81,6.2,115,14.0,2.9,1.0,5,5.0,0.26556016597510373,0.016597510373443983,0,4
82,8.4,210,8.0,3.7,4.0,15,3.5,0.3112033195020747,0.012448132780082987,0,3
83,7.7,185,11.0,3.2,2.0,11,4.5,0.3112033195020747,0.07468879668049792,0,4
84,8.9,240,9.0,3.8,4.0,19,3.0,0.22821576763485477,0.02074688796680498,0,3
85,6.9,140,13.5,3.0,1.5,7,5.0,0.26556016597510373,0.029045643153526972,0,4
86,8.1,200,10.0,3.4,3.0,13,4.0,0.15767634854771784,0.029045643153526972,0,4
87,7.4,170,12.0,3.1,2.5,9,4.5,0.3112033195020747,0.058091286307053944,0,4
88,8.0,205,11.5,3.3,3.0,12,4.0,0.15767634854771784,0.04564315352697095,0,3
89,7.2,160,9.0,3.5,3.5,8,4.0,0.03734439834024896,0.05394190871369295,0,4
90,9.5,280,6.5,4.2,5.0,22,2.5,0.22821576763485477,0.08713692946058091,0,2
91,6.5,130,13.0,3.0,1.0,6,5.0,0.26556016597510373,0.058091286307053944,0,4
92,8.7,230,8.0,3.9,4.0,17,3.5,0.3112033195020747,0.06639004149377593,0,3
93,7.9,190,10.0,3.2,2.5,11,4.5,0.3112033195020747,0.07468879668049792,0,4
94,8.2,210,12.0,3.1,2.0,14,4.5,0.3112033195020747,0.029045643153526972,0,4
95,6.3,120,14.0,2.9,1.5,5,5.0,0.26556016597510373,0.05394190871369295,0,4
96,6.2,115,14.0,2.9,1.0,5,5.0,0.26556016597510373,0.04564315352697095,0,4
97,8.5,220,9.0,3.6,3.5,16,4.0,0.15767634854771784,0.02074688796680498,0,3
98,7.1,150,10.5,3.3,3.0,7,4.0,0.03734439834024896,0.04979253112033195,0,4
99,8.5,158,11.2,3.6,4.0,20,5.0,0.15767634854771784,0.058091286307053944,0,3
100,7.7,192,12.6,3.43,4.0,21,3.0,0.15767634854771784,0.06639004149377593,0,2
101,9.3,127,14.2,3.72,3.0,22,5.0,0.22821576763485477,0.029045643153526972,0,4
102,8.9,118,8.1,3.32,5.0,11,3.0,0.26556016597510373,0.04564315352697095,0,1
103,6.7,220,11.3,3.29,4.0,23,5.0,0.15767634854771784,0.058091286307053944,0,3
104,9.7,202,14.3,4.09,5.0,15,5.0,0.22821576763485477,0.08713692946058091,0,3
105,6.1,130,6.8,3.98,3.0,18,5.0,0.26556016597510373,0.04564315352697095,0,1
106,7.4,123,6.7,2.82,1.0,18,5.0,0.26556016597510373,0.058091286307053944,0,2
107,8.0,143,15.1,3.53,5.0,13,5.0,0.22821576763485477,0.058091286307053944,0,4
108,8.9,269,6.7,3.67,4.0,25,4.0,0.26556016597510373,0.07468879668049792,0,1
109,6.1,120,14.7,3.97,5.0,10,5.0,0.22821576763485477,0.08713692946058091,0,3
110,9.9,152,6.4,3.33,4.0,17,5.0,0.26556016597510373,0.06639004149377593,0,1
111,6.9,270,7.4,3.85,2.0,20,3.0,0.26556016597510373,0.06639004149377593,0,1
112,6.9,184,14.0,2.86,1.0,15,3.0,0.22821576763485477,0.04564315352697095,0,4
113,6.1,137,12.4,3.54,4.0,20,5.0,0.15767634854771784,0.05394190871369295,0,3
114,6.4,236,10.4,3.32,5.0,22,4.0,0.15767634854771784,0.07468879668049792,0,2
115,6.1,279,14.1,3.9,4.0,13,4.0,0.22821576763485477,0.06639004149377593,0,3
116,7.4,293,11.3,3.36,5.0,19,4.0,0.15767634854771784,0.07468879668049792,0,2
117,9.8,209,11.1,2.88,3.0,14,2.0,0.15767634854771784,0.07468879668049792,0,2
118,7.9,246,7.5,3.61,4.0,19,5.0,0.26556016597510373,0.08713692946058091,0,1
119,8.3,253,6.7,3.41,5.0,16,3.0,0.26556016597510373,0.05394190871369295,0,0
120,9.7,298,8.1,4.35,3.0,16,3.0,0.26556016597510373,0.07468879668049792,0,1
121,8.2,169,11.8,2.92,4.0,21,4.0,0.15767634854771784,0.04564315352697095,0,2
122,6.5,260,15.9,4.37,3.0,10,4.0,0.22821576763485477,0.05394190871369295,0,4
123,9.6,252,12.7,2.97,3.0,14,4.0,0.15767634854771784,0.04979253112033195,0,3
124,7.0,297,12.2,2.9,2.0,22,4.0,0.15767634854771784,0.08713692946058091,0,3
125,6.1,243,7.3,2.9,4.0,10,4.0,0.26556016597510373,0.029045643153526972,0,1
126,9.7,108,8.6,3.58,2.0,18,5.0,0.26556016597510373,0.04979253112033195,0,2
127,6.6,117,13.7,3.9,2.0,16,4.0,0.22821576763485477,0.06639004149377593,0,4
128,8.7,234,9.3,3.9,1.0,14,2.0,0.26556016597510373,0.05394190871369295,0,2
129,6.7,276,11.0,4.33,1.0,11,3.0,0.15767634854771784,0.05394190871369295,0,3
130,7.6,269,6.6,3.39,1.0,23,3.0,0.26556016597510373,0.06639004149377593,0,1
131,8.5,234,13.7,3.17,3.0,11,3.0,0.22821576763485477,0.029045643153526972,0,3
132,7.9,155,12.4,3.58,1.0,15,5.0,0.15767634854771784,0.06639004149377593,0,4
133,6.7,198,10.6,2.8,3.0,23,5.0,0.22821576763485477,0.06639004149377593,0,3
134,9.8,298,8.2,3.7,5.0,13,3.0,0.26556016597510373,0.07468879668049792,0,2
135,7.7,122,14.6,3.98,4.0,12,3.0,0.22821576763485477,0.058091286307053944,0,3
136,6.4,293,14.2,3.67,5.0,11,2.0,0.22821576763485477,0.06639004149377593,0,2
137,9.8,143,11.0,3.65,3.0,13,5.0,0.15767634854771784,0.07468879668049792,0,3
138,6.9,257,13.2,3.36,4.0,13,5.0,0.22821576763485477,0.05394190871369295,0,3
139,6.0,157,9.2,3.85,1.0,23,4.0,0.26556016597510373,0.05394190871369295,0,3
140,8.9,180,16.0,2.86,2.0,24,2.0,0.22821576763485477,0.04564315352697095,0,3
141,6.2,177,12.0,3.3,1.0,12,2.0,0.3112033195020747,0.058091286307053944,0,3
142,6.5,296,15.0,3.2,4.0,23,2.0,0.3112033195020747,0.07468879668049792,0,3
143,7.8,187,14.9,3.0,2.0,16,1.0,0.3112033195020747,0.04564315352697095,0,4
144,8.2,129,10.0,3.6,5.0,24,2.0,0.22821576763485477,0.058091286307053944,0,3
145,7.8,292,14.6,3.2,1.0,11,3.0,0.3112033195020747,0.058091286307053944,0,3
146,7.3,281,7.7,3.5,2.0,23,4.0,0.26556016597510373,0.04564315352697095,0,3
147,8.4,222,14.8,4.0,3.0,17,3.0,0.3112033195020747,0.058091286307053944,0,3
148,9.2,139,14.0,3.7,2.0,22,1.0,0.3112033195020747,0.058091286307053944,0,3
149,7.8,234,7.6,3.2,1.0,19,1.0,0.26556016597510373,0.07468879668049792,0,0
150,7.4,238,10.6,3.6,5.0,14,1.0,0.22821576763485477,0.058091286307053944,0,3
151,8.0,264,15.8,3.6,4.0,15,4.0,0.3112033195020747,0.04564315352697095,0,3
152,8.7,217,13.4,3.6,5.0,10,2.0,0.3112033195020747,0.06639004149377593,0,4
153,9.7,294,12.7,3.5,3.0,19,1.0,0.3112033195020747,0.06639004149377593,0,3
154,7.8,206,10.0,3.6,4.0,18,5.0,0.22821576763485477,0.06639004149377593,0,3
155,7.2,274,12.4,4.3,3.0,12,5.0,0.3112033195020747,0.07468879668049792,0,3
156,6.4,298,15.2,3.0,2.0,15,3.0,0.3112033195020747,0.058091286307053944,0,3
157,9.7,126,9.1,4.1,1.0,21,3.0,0.26556016597510373,0.058091286307053944,0,0
158,7.9,168,16.0,3.3,1.0,11,3.0,0.3112033195020747,0.058091286307053944,0,4
159,9.6,246,10.2,3.3,2.0,12,2.0,0.22821576763485477,0.08713692946058091,0,3
160,9.0,250,15.4,3.4,1.0,16,4.0,0.3112033195020747,0.04564315352697095,0,3
161,6.4,106,9.1,2.9,4.0,20,5.0,0.26556016597510373,0.04564315352697095,0,3
162,6.6,141,13.9,3.2,4.0,19,3.0,0.3112033195020747,0.04564315352697095,0,3
163,9.0,126,11.5,4.3,3.0,11,5.0,0.22821576763485477,0.06639004149377593,0,3
164,6.9,176,13.7,3.2,5.0,15,5.0,0.3112033195020747,0.08713692946058091,0,2
165,9.0,256,14.1,3.7,3.0,12,4.0,0.3112033195020747,0.05394190871369295,0,3
166,6.4,127,15.4,2.9,2.0,11,5.0,0.3112033195020747,0.07468879668049792,0,3
167,9.6,151,14.4,4.3,4.0,19,1.0,0.3112033195020747,0.06639004149377593,0,3
168,7.9,258,14.5,3.4,4.0,22,4.0,0.3112033195020747,0.07468879668049792,0,3
169,9.4,179,11.9,3.1,3.0,15,3.0,0.22821576763485477,0.04564315352697095,0,3
170,7.2,288,6.9,3.6,2.0,16,4.0,0.26556016597510373,0.04564315352697095,0,3
171,7.1,236,11.4,4.0,2.0,13,3.0,0.22821576763485477,0.04564315352697095,0,3
172,8.6,139,12.1,4.2,1.0,15,4.0,0.3112033195020747,0.06639004149377593,0,3
173,6.8,263,13.4,3.1,4.0,12,5.0,0.3112033195020747,0.06639004149377593,0,3
174,7.8,204,6.2,2.8,3.0,11,3.0,0.26556016597510373,0.07468879668049792,0,2
175,8.1,292,7.4,3.6,3.0,16,5.0,0.15767634854771784,0.04564315352697095,0,2
176,9.1,269,13.9,3.1,3.0,11,5.0,0.3112033195020747,0.04564315352697095,0,4
177,8.7,143,14.5,2.9,2.0,17,3.0,0.3112033195020747,0.058091286307053944,0,4
178,7.5,129,8.4,4.3,2.0,14,5.0,0.26556016597510373,0.058091286307053944,0,3
179,6.9,291,9.9,3.8,5.0,10,4.0,0.26556016597510373,0.05394190871369295,0,2
180,6.1,198,9.0,3.1,4.0,22,3.0,0.26556016597510373,0.08713692946058091,0,2
181,8.4,259,15.1,3.9,2.0,18,5.0,0.3112033195020747,0.05394190871369295,0,4
182,6.5,171,11.4,3.2,2.0,16,2.0,0.22821576763485477,0.04564315352697095,0,4
183,6.9,182,14.0,3.2,1.0,18,3.0,0.3112033195020747,0.07468879668049792,0,3
184,6.9,112,13.6,2.9,1.0,25,2.0,0.3112033195020747,0.058091286307053944,0,4
185,8.6,217,9.1,3.1,1.0,15,3.0,0.26556016597510373,0.058091286307053944,0,2
186,8.3,245,14.3,3.6,3.0,15,1.0,0.3112033195020747,0.05394190871369295,0,3
187,8.3,273,14.0,3.2,4.0,22,4.0,0.3112033195020747,0.058091286307053944,0,3
188,8.7,225,10.2,3.2,3.0,21,5.0,0.22821576763485477,0.029045643153526972,0,3
189,6.8,165,14.9,3.1,1.0,22,4.0,0.3112033195020747,0.07468879668049792,0,4
190,7.5,285,15.2,3.7,3.0,10,3.0,0.3112033195020747,0.05394190871369295,0,4
191,6.7,283,6.3,3.0,4.0,21,1.0,0.26556016597510373,0.07468879668049792,0,3
192,8.5,192,12.4,3.2,1.0,25,4.0,0.3112033195020747,0.06639004149377593,0,3
193,7.6,264,14.2,3.2,3.0,12,1.0,0.3112033195020747,0.07468879668049792,0,4
194,8.9,195,11.1,2.8,5.0,22,5.0,0.22821576763485477,0.07468879668049792,0,3
195,8.7,141,7.0,3.9,4.0,10,2.0,0.26556016597510373,0.05394190871369295,0,3
196,6.7,246,8.6,3.5,4.0,21,3.0,0.26556016597510373,0.05394190871369295,0,3
197,8.3,261,13.2,3.8,3.0,22,5.0,0.3112033195020747,0.07468879668049792,0,3
198,7.7,193,9.8,3.2,2.0,11,3.0,0.26556016597510373,0.07468879668049792,0,3
199,9.6,288,6.6,2.8,2.0,19,2.0,0.26556016597510373,0.058091286307053944,0,0
200,6.5,277,8.6,3.6,5.0,18,4.0,0.26556016597510373,0.058091286307053944,0,3
201,9.1,296,11.1,3.3,3.0,15,1.0,0.22821576763485477,0.058091286307053944,0,3
202,7.2,299,12.7,4.3,5.0,20,5.0,0.3112033195020747,0.058091286307053944,0,2
203,6.5,162,8.0,3.6,5.0,14,2.0,0.26556016597510373,0.04979253112033195,0,2
204,6.8,142,11.0,3.4,5.0,20,3.0,0.22821576763485477,0.04564315352697095,0,3
205,7.5,138,7.0,4.1,1.0,20,3.0,0.15767634854771784,0.06639004149377593,0,1
206,6.6,128,10.4,3.7,4.0,25,1.0,0.22821576763485477,0.05394190871369295,0,3
207,9.9,169,12.8,3.7,1.0,13,5.0,0.3112033195020747,0.058091286307053944,0,4
208,7.9,197,13.1,3.2,2.0,14,2.0,0.3112033195020747,0.07468879668049792,0,3
209,8.4,187,14.8,4.2,5.0,11,3.0,0.3112033195020747,0.058091286307053944,0,4
210,7.1,298,14.1,3.4,3.0,23,5.0,0.3112033195020747,0.058091286307053944,0,3
211,6.4,149,14.3,3.5,3.0,25,3.0,0.3112033195020747,0.04979253112033195,0,3
212,7.6,237,7.7,3.7,2.0,24,3.0,0.26556016597510373,0.04979253112033195,0,0
213,6.9,146,8.7,3.4,5.0,22,3.0,0.26556016597510373,0.05394190871369295,0,4
214,6.1,233,10.9,3.0,5.0,19,5.0,0.22821576763485477,0.05394190871369295,0,3
215,8.1,248,7.4,3.0,5.0,18,2.0,0.26556016597510373,0.08713692946058091,0,3
216,7.2,261,8.0,3.3,5.0,21,5.0,0.15767634854771784,0.04564315352697095,0,2
217,6.2,228,12.0,4.2,3.0,10,4.0,0.3112033195020747,0.05394190871369295,0,3
218,7.2,130,6.7,3.6,5.0,23,5.0,0.26556016597510373,0.07468879668049792,0,2
219,6.6,267,12.5,4.0,5.0,11,1.0,0.3112033195020747,0.07468879668049792,0,3
220,9.7,280,8.5,4.3,3.0,19,1.0,0.26556016597510373,0.04979253112033195,0,2
221,7.0,246,14.3,3.8,1.0,14,2.0,0.3112033195020747,0.04979253112033195,0,4
222,9.4,291,6.3,3.9,4.0,17,2.0,0.26556016597510373,0.058091286307053944,0,2
223,9.8,276,6.5,3.3,1.0,17,5.0,0.26556016597510373,0.07468879668049792,0,1
224,7.1,210,13.0,3.7,2.0,21,5.0,0.3112033195020747,0.06639004149377593,0,3
225,6.4,261,14.6,3.2,2.0,17,3.0,0.3112033195020747,0.04564315352697095,0,3
226,7.6,100,14.5,3.1,5.0,15,2.0,0.3112033195020747,0.05394190871369295,0,3
227,8.2,265,6.8,3.4,5.0,12,2.0,0.26556016597510373,0.06639004149377593,0,2
228,7.6,189,11.5,3.2,2.0,12,4.0,0.22821576763485477,0.04564315352697095,0,3
229,9.1,202,7.2,3.5,2.0,20,4.0,0.26556016597510373,0.08713692946058091,0,0
230,9.0,147,15.6,3.4,2.0,17,2.0,0.3112033195020747,0.06639004149377593,0,4
231,9.5,131,6.1,3.3,5.0,21,2.0,0.26556016597510373,0.07468879668049792,0,2
232,6.1,273,8.3,4.3,1.0,16,4.0,0.15767634854771784,0.06639004149377593,0,0
233,8.2,249,12.8,3.8,3.0,17,3.0,0.3112033195020747,0.058091286307053944,0,3
234,8.6,251,11.5,3.8,5.0,23,3.0,0.22821576763485477,0.058091286307053944,0,2
235,8.5,130,8.1,3.6,3.0,10,2.0,0.15767634854771784,0.04564315352697095,0,3
236,8.0,194,10.9,3.6,5.0,13,1.0,0.22821576763485477,0.058091286307053944,0,4
237,7.4,275,8.5,3.5,5.0,20,5.0,0.26556016597510373,0.04979253112033195,0,3
238,7.5,196,15.7,3.0,3.0,13,3.0,0.3112033195020747,0.07468879668049792,0,4
239,7.2,251,9.8,4.3,3.0,23,1.0,0.26556016597510373,0.06639004149377593,0,2
240,7.3,282,10.5,2.9,4.0,21,2.0,0.22821576763485477,0.04564315352697095,0,3
