,Unnamed: 0,Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Quality (1-5),Color,Variety,Blemishes (Y/N)
68,68,9.6,280,6.0,4.2,5.0,22,2.0,2,55,21,8
69,69,7.9,190,11.0,3.2,2.0,12,4.5,4,75,18,149
70,70,8.5,220,8.0,3.8,4.0,16,3.5,3,38,5,17
71,71,6.0,100,14.5,2.8,1.0,4,5.0,4,64,13,149
72,72,8.2,210,9.5,3.6,3.0,14,4.0,4,38,7,149
73,73,7.5,175,10.0,3.3,2.5,10,4.0,4,75,14,149
74,74,9.3,270,7.0,4.1,4.5,21,3.0,2,55,18,23
75,75,6.7,135,13.0,3.0,1.5,6,5.0,4,64,14,149
76,76,8.8,235,8.5,3.7,4.0,18,3.5,3,55,21,10
77,77,7.8,190,11.5,3.2,3.0,11,4.5,2,75,5,149
78,78,8.6,225,12.5,3.1,2.5,17,4.5,4,75,3,149
79,79,7.0,145,10.5,3.4,3.5,8,4.0,3,9,12,9
80,80,9.1,250,7.5,4.0,5.0,20,2.5,2,55,16,149
81,81,6.2,115,14.0,2.9,1.0,5,5.0,4,64,4,149
82,82,8.4,210,8.0,3.7,4.0,15,3.5,3,75,3,149
83,83,7.7,185,11.0,3.2,2.0,11,4.5,4,75,18,149
84,84,8.9,240,9.0,3.8,4.0,19,3.0,3,55,5,17
85,85,6.9,140,13.5,3.0,1.5,7,5.0,4,64,7,149
86,86,8.1,200,10.0,3.4,3.0,13,4.0,4,38,7,149
87,87,7.4,170,12.0,3.1,2.5,9,4.5,4,75,14,149
88,88,8.0,205,11.5,3.3,3.0,12,4.0,3,38,11,23
89,89,7.2,160,9.0,3.5,3.5,8,4.0,4,9,13,149
90,90,9.5,280,6.5,4.2,5.0,22,2.5,2,55,21,8
91,91,6.5,130,13.0,3.0,1.0,6,5.0,4,64,14,149
92,92,8.7,230,8.0,3.9,4.0,17,3.5,3,75,16,149
93,93,7.9,190,10.0,3.2,2.5,11,4.5,4,75,18,149
94,94,8.2,210,12.0,3.1,2.0,14,4.5,4,75,7,149
95,95,6.3,120,14.0,2.9,1.5,5,5.0,4,64,13,149
96,96,6.2,115,14.0,2.9,1.0,5,5.0,4,64,11,149
97,97,8.5,220,9.0,3.6,3.5,16,4.0,3,38,5,17
98,98,7.1,150,10.5,3.3,3.0,7,4.0,4,9,12,149
99,99,8.5,158,11.2,3.6,4.0,20,5.0,3,38,14,149
100,100,7.7,192,12.6,3.43,4.0,21,3.0,2,38,16,149
101,101,9.3,127,14.2,3.72,3.0,22,5.0,4,55,7,149
102,102,8.9,118,8.1,3.32,5.0,11,3.0,1,64,11,149
103,103,6.7,220,11.3,3.29,4.0,23,5.0,3,38,14,17
104,104,9.7,202,14.3,4.09,5.0,15,5.0,3,55,21,149
105,105,6.1,130,6.8,3.98,3.0,18,5.0,1,64,11,10
106,106,7.4,123,6.7,2.82,1.0,18,5.0,2,64,14,149
107,107,8.0,143,15.1,3.53,5.0,13,5.0,4,55,14,149
108,108,8.9,269,6.7,3.67,4.0,25,4.0,1,64,18,149
109,109,6.1,120,14.7,3.97,5.0,10,5.0,3,55,21,8
110,110,9.9,152,6.4,3.33,4.0,17,5.0,1,64,16,149
111,111,6.9,270,7.4,3.85,2.0,20,3.0,1,64,16,149
112,112,6.9,184,14.0,2.86,1.0,15,3.0,4,55,11,8
113,113,6.1,137,12.4,3.54,4.0,20,5.0,3,38,13,149
114,114,6.4,236,10.4,3.32,5.0,22,4.0,2,38,18,149
115,115,6.1,279,14.1,3.9,4.0,13,4.0,3,55,16,9
116,116,7.4,293,11.3,3.36,5.0,19,4.0,2,38,18,149
117,117,9.8,209,11.1,2.88,3.0,14,2.0,2,38,18,149
118,118,7.9,246,7.5,3.61,4.0,19,5.0,1,64,21,149
119,119,8.3,253,6.7,3.41,5.0,16,3.0,0,64,13,149
120,120,9.7,298,8.1,4.35,3.0,16,3.0,1,64,18,149
121,121,8.2,169,11.8,2.92,4.0,21,4.0,2,38,11,149
122,122,6.5,260,15.9,4.37,3.0,10,4.0,4,55,13,149
123,123,9.6,252,12.7,2.97,3.0,14,4.0,3,38,12,149
124,124,7.0,297,12.2,2.9,2.0,22,4.0,3,38,21,149
125,125,6.1,243,7.3,2.9,4.0,10,4.0,1,64,7,1
126,126,9.7,108,8.6,3.58,2.0,18,5.0,2,64,12,149
127,127,6.6,117,13.7,3.9,2.0,16,4.0,4,55,16,149
128,128,8.7,234,9.3,3.9,1.0,14,2.0,2,64,13,23
129,129,6.7,276,11.0,4.33,1.0,11,3.0,3,38,13,23
130,130,7.6,269,6.6,3.39,1.0,23,3.0,1,64,16,149
131,131,8.5,234,13.7,3.17,3.0,11,3.0,3,55,7,17
132,132,7.9,155,12.4,3.58,1.0,15,5.0,4,38,16,149
133,133,6.7,198,10.6,2.8,3.0,23,5.0,3,55,16,149
134,134,9.8,298,8.2,3.7,5.0,13,3.0,2,64,18,17
135,135,7.7,122,14.6,3.98,4.0,12,3.0,3,55,14,149
136,136,6.4,293,14.2,3.67,5.0,11,2.0,2,55,16,1
137,137,9.8,143,11.0,3.65,3.0,13,5.0,3,38,18,149
138,138,6.9,257,13.2,3.36,4.0,13,5.0,3,55,13,149
139,139,6.0,157,9.2,3.85,1.0,23,4.0,3,64,13,149
140,140,8.9,180,16.0,2.86,2.0,24,2.0,3,55,11,149
141,141,6.2,177,12.0,3.3,1.0,12,2.0,3,75,14,17
142,142,6.5,296,15.0,3.2,4.0,23,2.0,3,75,18,10
143,143,7.8,187,14.9,3.0,2.0,16,1.0,4,75,11,149
144,144,8.2,129,10.0,3.6,5.0,24,2.0,3,55,14,17
145,145,7.8,292,14.6,3.2,1.0,11,3.0,3,75,14,17
146,146,7.3,281,7.7,3.5,2.0,23,4.0,3,64,11,17
147,147,8.4,222,14.8,4.0,3.0,17,3.0,3,75,14,14
148,148,9.2,139,14.0,3.7,2.0,22,1.0,3,75,14,14
149,149,7.8,234,7.6,3.2,1.0,19,1.0,0,64,18,23
150,150,7.4,238,10.6,3.6,5.0,14,1.0,3,55,14,9
151,151,8.0,264,15.8,3.6,4.0,15,4.0,3,75,11,149
152,152,8.7,217,13.4,3.6,5.0,10,2.0,4,75,16,10
153,153,9.7,294,12.7,3.5,3.0,19,1.0,3,75,16,9
154,154,7.8,206,10.0,3.6,4.0,18,5.0,3,55,16,149
155,155,7.2,274,12.4,4.3,3.0,12,5.0,3,75,18,10
156,156,6.4,298,15.2,3.0,2.0,15,3.0,3,75,14,23
157,157,9.7,126,9.1,4.1,1.0,21,3.0,0,64,14,14
158,158,7.9,168,16.0,3.3,1.0,11,3.0,4,75,14,149
159,159,9.6,246,10.2,3.3,2.0,12,2.0,3,55,21,23
160,160,9.0,250,15.4,3.4,1.0,16,4.0,3,75,11,9
161,161,6.4,106,9.1,2.9,4.0,20,5.0,3,64,11,23
162,162,6.6,141,13.9,3.2,4.0,19,3.0,3,75,11,149
163,163,9.0,126,11.5,4.3,3.0,11,5.0,3,55,16,149
164,164,6.9,176,13.7,3.2,5.0,15,5.0,2,75,21,149
165,165,9.0,256,14.1,3.7,3.0,12,4.0,3,75,13,9
166,166,6.4,127,15.4,2.9,2.0,11,5.0,3,75,18,14
167,167,9.6,151,14.4,4.3,4.0,19,1.0,3,75,16,149
168,168,7.9,258,14.5,3.4,4.0,22,4.0,3,75,18,149
169,169,9.4,179,11.9,3.1,3.0,15,3.0,3,55,11,149
170,170,7.2,288,6.9,3.6,2.0,16,4.0,3,64,11,23
171,171,7.1,236,11.4,4.0,2.0,13,3.0,3,55,11,6
172,172,8.6,139,12.1,4.2,1.0,15,4.0,3,75,16,14
173,173,6.8,263,13.4,3.1,4.0,12,5.0,3,75,16,149
174,174,7.8,204,6.2,2.8,3.0,11,3.0,2,64,18,6
175,175,8.1,292,7.4,3.6,3.0,16,5.0,2,38,11,14
176,176,9.1,269,13.9,3.1,3.0,11,5.0,4,75,11,149
177,177,8.7,143,14.5,2.9,2.0,17,3.0,4,75,14,149
178,178,7.5,129,8.4,4.3,2.0,14,5.0,3,64,14,14
179,179,6.9,291,9.9,3.8,5.0,10,4.0,2,64,13,10
180,180,6.1,198,9.0,3.1,4.0,22,3.0,2,64,21,14
181,181,8.4,259,15.1,3.9,2.0,18,5.0,4,75,13,8
182,182,6.5,171,11.4,3.2,2.0,16,2.0,4,55,11,14
183,183,6.9,182,14.0,3.2,1.0,18,3.0,3,75,18,14
184,184,6.9,112,13.6,2.9,1.0,25,2.0,4,75,14,149
185,185,8.6,217,9.1,3.1,1.0,15,3.0,2,64,14,149
186,186,8.3,245,14.3,3.6,3.0,15,1.0,3,75,13,8
187,187,8.3,273,14.0,3.2,4.0,22,4.0,3,75,14,149
188,188,8.7,225,10.2,3.2,3.0,21,5.0,3,55,7,149
189,189,6.8,165,14.9,3.1,1.0,22,4.0,4,75,18,8
190,190,7.5,285,15.2,3.7,3.0,10,3.0,4,75,13,149
191,191,6.7,283,6.3,3.0,4.0,21,1.0,3,64,18,149
192,192,8.5,192,12.4,3.2,1.0,25,4.0,3,75,16,23
193,193,7.6,264,14.2,3.2,3.0,12,1.0,4,75,18,149
194,194,8.9,195,11.1,2.8,5.0,22,5.0,3,55,18,149
195,195,8.7,141,7.0,3.9,4.0,10,2.0,3,64,13,149
196,196,6.7,246,8.6,3.5,4.0,21,3.0,3,64,13,149
197,197,8.3,261,13.2,3.8,3.0,22,5.0,3,75,18,149
198,198,7.7,193,9.8,3.2,2.0,11,3.0,3,64,18,6
199,199,9.6,288,6.6,2.8,2.0,19,2.0,0,64,14,149
200,200,6.5,277,8.6,3.6,5.0,18,4.0,3,64,14,23
201,201,9.1,296,11.1,3.3,3.0,15,1.0,3,55,14,23
202,202,7.2,299,12.7,4.3,5.0,20,5.0,2,75,14,9
203,203,6.5,162,8.0,3.6,5.0,14,2.0,2,64,12,23
204,204,6.8,142,11.0,3.4,5.0,20,3.0,3,55,11,23
205,205,7.5,138,7.0,4.1,1.0,20,3.0,1,38,16,149
206,206,6.6,128,10.4,3.7,4.0,25,1.0,3,55,13,149
207,207,9.9,169,12.8,3.7,1.0,13,5.0,4,75,14,149
208,208,7.9,197,13.1,3.2,2.0,14,2.0,3,75,18,14
209,209,8.4,187,14.8,4.2,5.0,11,3.0,4,75,14,149
210,210,7.1,298,14.1,3.4,3.0,23,5.0,3,75,14,23
211,211,6.4,149,14.3,3.5,3.0,25,3.0,3,75,12,9
212,212,7.6,237,7.7,3.7,2.0,24,3.0,0,64,12,149
213,213,6.9,146,8.7,3.4,5.0,22,3.0,4,64,13,149
214,214,6.1,233,10.9,3.0,5.0,19,5.0,3,55,13,149
215,215,8.1,248,7.4,3.0,5.0,18,2.0,3,64,21,149
216,216,7.2,261,8.0,3.3,5.0,21,5.0,2,38,11,149
217,217,6.2,228,12.0,4.2,3.0,10,4.0,3,75,13,17
218,218,7.2,130,6.7,3.6,5.0,23,5.0,2,64,18,149
219,219,6.6,267,12.5,4.0,5.0,11,1.0,3,75,18,149
220,220,9.7,280,8.5,4.3,3.0,19,1.0,2,64,12,23
221,221,7.0,246,14.3,3.8,1.0,14,2.0,4,75,12,149
222,222,9.4,291,6.3,3.9,4.0,17,2.0,2,64,14,149
223,223,9.8,276,6.5,3.3,1.0,17,5.0,1,64,18,149
224,224,7.1,210,13.0,3.7,2.0,21,5.0,3,75,16,17
225,225,6.4,261,14.6,3.2,2.0,17,3.0,3,75,11,23
226,226,7.6,100,14.5,3.1,5.0,15,2.0,3,75,13,23
227,227,8.2,265,6.8,3.4,5.0,12,2.0,2,64,16,17
228,228,7.6,189,11.5,3.2,2.0,12,4.0,3,55,11,149
229,229,9.1,202,7.2,3.5,2.0,20,4.0,0,64,21,149
230,230,9.0,147,15.6,3.4,2.0,17,2.0,4,75,16,149
231,231,9.5,131,6.1,3.3,5.0,21,2.0,2,64,18,23
232,232,6.1,273,8.3,4.3,1.0,16,4.0,0,38,16,14
233,233,8.2,249,12.8,3.8,3.0,17,3.0,3,75,14,17
234,234,8.6,251,11.5,3.8,5.0,23,3.0,2,55,14,149
235,235,8.5,130,8.1,3.6,3.0,10,2.0,3,38,11,23
236,236,8.0,194,10.9,3.6,5.0,13,1.0,4,55,14,17
237,237,7.4,275,8.5,3.5,5.0,20,5.0,3,64,12,149
238,238,7.5,196,15.7,3.0,3.0,13,3.0,4,75,18,6
239,239,7.2,251,9.8,4.3,3.0,23,1.0,2,64,16,6
240,240,7.3,282,10.5,2.9,4.0,21,2.0,3,55,11,14
